,Ausstattung Median,Gesamtnote Median,Hotelpersonal Median,Kanton,Komfort Median,Lage Median,Preis/Leistung Median,Sauberkeit Median
0,8.2,8.4,8.7,Zürich,8.2,8.5,7.7,8.9
1,8.1,8.5,9.0,Bern,8.2,8.9,7.9,9.0
2,8.0,8.4,8.8,Luzern,8.1,8.9,7.7,8.9
3,7.7,8.4,9.0,Uri,7.95,8.649999999999999,7.5,8.9
4,8.1,8.5,9.0,Schwyz,8.2,8.9,7.9,9.0
5,8.4,8.7,9.1,Obwalden,8.4,9.0,8.0,9.2
6,8.3,8.6,8.95,Nidwalden,8.1,9.05,7.800000000000001,9.05
7,7.25,8.100000000000001,8.95,Glarus,7.3,8.6,7.45,8.75
8,8.149999999999999,8.4,8.7,Zug,8.25,8.5,7.45,9.0
9,7.9,8.4,8.7,Freiburg,8.0,8.6,7.9,8.8
10,8.2,8.5,8.9,Solothurn,8.2,8.5,7.9,9.0
11,8.3,8.6,8.9,Basel-Stadt,8.4,9.0,8.0,9.0
12,7.9,8.2,8.8,Basel-Landschaft,7.9,8.0,7.5,8.8
13,8.0,8.4,8.7,Schaffhausen,8.1,9.2,7.7,9.0
14,8.1,8.7,9.2,Appenzell Ausserrhoden,8.25,8.6,8.3,9.2
15,8.6,9.0,9.45,Appenzell Innerrhoden,8.55,9.15,8.25,9.45
16,8.0,8.5,9.1,St. Gallen,8.149999999999999,8.7,8.0,9.0
17,8.4,8.8,9.2,Graubünden,8.5,9.0,8.3,9.3
18,8.1,8.4,8.9,Aargau,8.3,8.4,7.9,9.0
19,7.9,8.3,8.9,Thurgau,7.8,8.55,7.8,8.9
20,8.0,8.5,9.1,Tessin,8.0,8.9,7.9,9.1
21,8.3,8.8,9.2,Wallis,8.5,9.1,8.3,9.2
22,7.8,8.4,8.8,Neuenburg,8.0,8.7,7.8,8.9
23,8.0,8.2,8.7,Genf,8.2,8.6,7.6,8.8
24,7.7,8.3,8.9,Jura,8.0,8.5,7.8,8.8
25,8.0,8.4,8.7,Waadt,8.2,8.7,7.8,8.9
